currentTime,batteryState,protect,projection,purifier,round,battery,voltage,electricity,duration
2016/5/12 9:15,0,19000,FALSE,TRUE,FALSE,100%,26523MV,314MA,0:00:00
2016/5/12 9:15,0,19000,FALSE,TRUE,FALSE,100%,26481MV,285MA,0:00:10
2016/5/12 9:15,0,19000,FALSE,TRUE,FALSE,99%,26376MV,296MA,0:00:29
2016/5/12 9:15,0,19000,FALSE,TRUE,FALSE,99%,26334MV,305MA,0:00:40
2016/5/12 9:16,0,19000,FALSE,TRUE,FALSE,98%,26250MV,323MA,0:00:59
2016/5/12 9:16,0,19000,FALSE,TRUE,FALSE,98%,26208MV,309MA,0:01:10
2016/5/12 9:16,0,19000,FALSE,TRUE,FALSE,98%,26166MV,301MA,0:01:29
2016/5/12 9:16,0,19000,FALSE,TRUE,FALSE,97%,26145MV,303MA,0:01:40
2016/5/12 9:17,0,19000,FALSE,TRUE,FALSE,97%,26103MV,316MA,0:01:59
2016/5/12 9:17,0,19000,FALSE,TRUE,FALSE,97%,26082MV,318MA,0:02:10
2016/5/12 9:17,0,19000,FALSE,TRUE,FALSE,97%,26040MV,307MA,0:02:29
2016/5/12 9:17,0,19000,FALSE,TRUE,FALSE,97%,26040MV,314MA,0:02:40
2016/5/12 9:18,0,19000,FALSE,TRUE,FALSE,96%,26019MV,298MA,0:02:59
2016/5/12 9:18,0,19000,FALSE,TRUE,FALSE,96%,26019MV,292MA,0:03:10
2016/5/12 9:18,0,19000,FALSE,TRUE,FALSE,96%,25998MV,318MA,0:03:29
2016/5/12 9:18,0,19000,FALSE,TRUE,FALSE,96%,25977MV,314MA,0:03:40
2016/5/12 9:19,0,19000,FALSE,TRUE,FALSE,96%,25977MV,307MA,0:03:59
2016/5/12 9:19,0,19000,FALSE,TRUE,FALSE,96%,25956MV,305MA,0:04:10
2016/5/12 9:19,0,19000,FALSE,TRUE,FALSE,96%,25956MV,331MA,0:04:29
2016/5/12 9:19,0,19000,FALSE,TRUE,FALSE,96%,25956MV,316MA,0:04:40
2016/5/12 9:20,0,19000,FALSE,TRUE,FALSE,96%,25935MV,327MA,0:04:59
2016/5/12 9:20,0,19000,FALSE,TRUE,FALSE,96%,25935MV,314MA,0:05:10
2016/5/12 9:20,0,19000,FALSE,TRUE,FALSE,96%,25935MV,316MA,0:05:29
2016/5/12 9:20,0,19000,FALSE,TRUE,FALSE,96%,25935MV,318MA,0:05:40
2016/5/12 9:21,0,19000,FALSE,TRUE,FALSE,96%,25935MV,325MA,0:05:59
2016/5/12 9:21,0,19000,FALSE,TRUE,FALSE,96%,25914MV,325MA,0:06:10
2016/5/12 9:21,0,19000,FALSE,TRUE,FALSE,96%,25914MV,307MA,0:06:29
2016/5/12 9:21,0,19000,FALSE,TRUE,FALSE,96%,25914MV,320MA,0:06:40
2016/5/12 9:22,0,19000,FALSE,TRUE,FALSE,96%,25914MV,318MA,0:06:59
